Signal Type: RIP_Thorax_Type;
Start Time: 26/04/2023 19:08:36;
Sample Rate: 32;
Length: 9992;
Unit: ;
;
Data:;
19:37:25,156;-89
19:37:25,188;-87
19:37:25,219;-85
19:37:25,250;-83
19:37:25,281;-82
19:37:25,312;-81
19:37:25,344;-81
19:37:25,375;-81
19:37:25,406;-81
19:37:25,438;-81
19:37:25,469;-82
19:37:25,500;-82
19:37:25,531;-83
19:37:25,562;-84
19:37:25,594;-84
19:37:25,625;-84
19:37:25,656;-84
19:37:25,687;-83
19:37:25,719;-82
19:37:25,750;-80
19:37:25,781;-78
19:37:25,812;-75
19:37:25,844;-72
19:37:25,875;-68
19:37:25,906;-64
19:37:25,937;-60
19:37:25,969;-55
19:37:26,000;-50
19:37:26,031;-44
19:37:26,062;-38
19:37:26,094;-32
19:37:26,125;-26
19:37:26,156;-20
19:37:26,187;-13
19:37:26,219;-6
19:37:26,250;1
19:37:26,281;9
19:37:26,312;16
19:37:26,344;24
19:37:26,375;33
19:37:26,406;41
19:37:26,437;51
19:37:26,469;60
19:37:26,500;70
19:37:26,531;80
19:37:26,562;90
19:37:26,594;100
19:37:26,625;110
19:37:26,656;120
19:37:26,688;129
19:37:26,719;138
19:37:26,750;146
19:37:26,781;154
19:37:26,812;160
19:37:26,844;165
19:37:26,875;169
19:37:26,906;171
19:37:26,938;172
19:37:26,969;172
19:37:27,000;170
19:37:27,031;167
19:37:27,062;162
19:37:27,094;156
19:37:27,125;148
19:37:27,156;140
19:37:27,187;131
19:37:27,219;121
19:37:27,250;111
19:37:27,281;101
19:37:27,312;91
19:37:27,344;81
19:37:27,375;72
19:37:27,406;63
19:37:27,437;55
19:37:27,469;47
19:37:27,500;41
19:37:27,531;35
19:37:27,562;30
19:37:27,594;26
19:37:27,625;23
19:37:27,656;21
19:37:27,687;19
19:37:27,719;18
19:37:27,750;16
19:37:27,781;16
19:37:27,812;15
19:37:27,844;13
19:37:27,875;12
19:37:27,906;10
19:37:27,937;8
19:37:27,969;6
19:37:28,000;2
19:37:28,031;-1
19:37:28,062;-5
19:37:28,094;-10
19:37:28,125;-15
19:37:28,156;-20
19:37:28,188;-25
19:37:28,219;-31
19:37:28,250;-36
19:37:28,281;-41
19:37:28,312;-46
19:37:28,344;-51
19:37:28,375;-55
19:37:28,406;-58
19:37:28,438;-61
19:37:28,469;-62
19:37:28,500;-64
19:37:28,531;-64
19:37:28,562;-64
19:37:28,594;-63
19:37:28,625;-61
19:37:28,656;-59
19:37:28,688;-56
19:37:28,719;-53
19:37:28,750;-50
19:37:28,781;-46
19:37:28,812;-42
19:37:28,844;-38
19:37:28,875;-34
19:37:28,906;-30
19:37:28,937;-26
19:37:28,969;-22
19:37:29,000;-18
19:37:29,031;-15
19:37:29,062;-11
19:37:29,094;-8
19:37:29,125;-5
19:37:29,156;-2
19:37:29,187;1
19:37:29,219;4
19:37:29,250;7
19:37:29,281;9
19:37:29,312;12
19:37:29,344;14
19:37:29,375;17
19:37:29,406;20
19:37:29,437;22
19:37:29,469;25
19:37:29,500;28
19:37:29,531;30
19:37:29,562;33
19:37:29,594;36
19:37:29,625;38
19:37:29,656;41
19:37:29,688;43
19:37:29,719;46
19:37:29,750;48
19:37:29,781;50
19:37:29,812;53
19:37:29,844;55
19:37:29,875;57
19:37:29,906;59
19:37:29,938;61
19:37:29,969;63
19:37:30,000;65
19:37:30,031;67
19:37:30,062;69
19:37:30,094;70
19:37:30,125;72
19:37:30,156;74
19:37:30,188;76
19:37:30,219;77
19:37:30,250;79
19:37:30,281;80
19:37:30,312;81
19:37:30,344;82
19:37:30,375;83
19:37:30,406;84
19:37:30,437;84
19:37:30,469;85
19:37:30,500;85
19:37:30,531;85
19:37:30,562;85
19:37:30,594;84
19:37:30,625;84
19:37:30,656;83
19:37:30,687;82
19:37:30,719;82
19:37:30,750;81
19:37:30,781;80
19:37:30,812;79
19:37:30,844;78
19:37:30,875;77
19:37:30,906;77
19:37:30,937;76
19:37:30,969;75
19:37:31,000;74
19:37:31,031;73
19:37:31,062;72
19:37:31,094;71
19:37:31,125;70
19:37:31,156;69
19:37:31,187;67
19:37:31,219;65
19:37:31,250;63
19:37:31,281;61
19:37:31,312;58
19:37:31,344;55
19:37:31,375;51
19:37:31,406;47
19:37:31,438;43
19:37:31,469;38
19:37:31,500;33
19:37:31,531;28
19:37:31,562;23
19:37:31,594;17
19:37:31,625;11
19:37:31,656;5
19:37:31,688;-1
19:37:31,719;-7
19:37:31,750;-13
19:37:31,781;-19
19:37:31,812;-24
19:37:31,844;-30
19:37:31,875;-36
19:37:31,906;-41
19:37:31,938;-47
19:37:31,969;-52
19:37:32,000;-57
19:37:32,031;-62
19:37:32,062;-67
19:37:32,094;-72
19:37:32,125;-76
19:37:32,156;-80
19:37:32,187;-84
19:37:32,219;-88
19:37:32,250;-91
19:37:32,281;-94
19:37:32,312;-96
19:37:32,344;-98
19:37:32,375;-99
19:37:32,406;-100
19:37:32,437;-100
19:37:32,469;-100
19:37:32,500;-99
19:37:32,531;-97
19:37:32,562;-95
19:37:32,594;-91
19:37:32,625;-88
19:37:32,656;-83
19:37:32,687;-78
19:37:32,719;-73
19:37:32,750;-67
19:37:32,781;-60
19:37:32,812;-53
19:37:32,844;-46
19:37:32,875;-39
19:37:32,906;-31
19:37:32,938;-23
19:37:32,969;-15
19:37:33,000;-7
19:37:33,031;0
19:37:33,062;8
19:37:33,094;16
19:37:33,125;24
19:37:33,156;31
19:37:33,188;39
19:37:33,219;46
19:37:33,250;52
19:37:33,281;59
19:37:33,312;65
19:37:33,344;71
19:37:33,375;77
19:37:33,406;83
19:37:33,438;88
19:37:33,469;93
19:37:33,500;97
19:37:33,531;102
19:37:33,562;105
19:37:33,594;109
19:37:33,625;113
19:37:33,656;116
19:37:33,687;119
19:37:33,719;122
19:37:33,750;124
19:37:33,781;127
19:37:33,812;130
19:37:33,844;132
19:37:33,875;135
19:37:33,906;138
19:37:33,937;141
19:37:33,969;144
19:37:34,000;147
19:37:34,031;150
19:37:34,062;153
19:37:34,094;156
19:37:34,125;159
19:37:34,156;162
19:37:34,187;165
19:37:34,219;167
19:37:34,250;169
19:37:34,281;170
19:37:34,312;171
19:37:34,344;171
19:37:34,375;171
19:37:34,406;169
19:37:34,438;167
19:37:34,469;164
19:37:34,500;160
19:37:34,531;155
19:37:34,562;150
19:37:34,594;144
19:37:34,625;137
19:37:34,656;129
19:37:34,688;121
19:37:34,719;113
19:37:34,750;105
19:37:34,781;97
19:37:34,812;88
19:37:34,844;80
19:37:34,875;72
19:37:34,906;65
19:37:34,938;58
19:37:34,969;51
19:37:35,000;45
19:37:35,031;39
19:37:35,062;33
19:37:35,094;28
19:37:35,125;23
19:37:35,156;18
19:37:35,187;14
19:37:35,219;9
19:37:35,250;4
19:37:35,281;-1
19:37:35,312;-6
19:37:35,344;-12
19:37:35,375;-18
19:37:35,406;-24
19:37:35,437;-30
19:37:35,469;-37
19:37:35,500;-45
19:37:35,531;-52
19:37:35,562;-60
19:37:35,594;-67
19:37:35,625;-75
19:37:35,656;-82
19:37:35,687;-89
19:37:35,719;-96
19:37:35,750;-102
19:37:35,781;-107
19:37:35,812;-112
19:37:35,844;-115
19:37:35,875;-119
19:37:35,906;-121
19:37:35,937;-122
19:37:35,969;-123
19:37:36,000;-122
19:37:36,031;-121
19:37:36,062;-120
19:37:36,094;-117
19:37:36,125;-114
19:37:36,156;-111
19:37:36,188;-108
19:37:36,219;-104
19:37:36,250;-100
19:37:36,281;-96
19:37:36,312;-92
19:37:36,344;-88
19:37:36,375;-84
19:37:36,406;-80
19:37:36,438;-77
19:37:36,469;-73
19:37:36,500;-70
19:37:36,531;-67
19:37:36,562;-64
19:37:36,594;-61
19:37:36,625;-58
19:37:36,656;-55
19:37:36,688;-52
19:37:36,719;-49
19:37:36,750;-46
19:37:36,781;-42
19:37:36,812;-38
19:37:36,844;-34
19:37:36,875;-30
19:37:36,906;-26
19:37:36,937;-21
19:37:36,969;-17
19:37:37,000;-12
19:37:37,031;-7
19:37:37,062;-2
19:37:37,094;3
19:37:37,125;7
19:37:37,156;12
19:37:37,187;17
19:37:37,219;21
19:37:37,250;25
19:37:37,281;28
19:37:37,312;31
19:37:37,344;34
19:37:37,375;37
19:37:37,406;39
19:37:37,437;40
19:37:37,469;41
19:37:37,500;42
19:37:37,531;42
19:37:37,562;43
19:37:37,594;43
19:37:37,625;42
19:37:37,656;42
19:37:37,688;42
19:37:37,719;41
19:37:37,750;41
19:37:37,781;41
19:37:37,812;41
19:37:37,844;41
19:37:37,875;41
19:37:37,906;42
19:37:37,938;42
19:37:37,969;43
19:37:38,000;44
19:37:38,031;46
19:37:38,062;47
19:37:38,094;49
19:37:38,125;50
19:37:38,156;52
19:37:38,188;53
19:37:38,219;55
19:37:38,250;56
19:37:38,281;57
19:37:38,312;58
19:37:38,344;58
19:37:38,375;59
19:37:38,406;58
19:37:38,437;58
19:37:38,469;57
19:37:38,500;56
19:37:38,531;55
19:37:38,562;53
19:37:38,594;52
19:37:38,625;50
19:37:38,656;48
19:37:38,687;45
19:37:38,719;43
19:37:38,750;41
19:37:38,781;39
19:37:38,812;37
19:37:38,844;36
19:37:38,875;34
19:37:38,906;33
19:37:38,937;32
19:37:38,969;31
19:37:39,000;31
19:37:39,031;30
19:37:39,062;30
19:37:39,094;30
19:37:39,125;30
19:37:39,156;30
19:37:39,187;30
19:37:39,219;30
19:37:39,250;30
19:37:39,281;30
19:37:39,312;30
19:37:39,344;30
19:37:39,375;29
19:37:39,406;29
19:37:39,438;28
19:37:39,469;27
19:37:39,500;26
19:37:39,531;25
19:37:39,562;24
19:37:39,594;24
19:37:39,625;23
19:37:39,656;22
19:37:39,688;21
19:37:39,719;20
19:37:39,750;20
19:37:39,781;19
19:37:39,812;19
19:37:39,844;18
19:37:39,875;18
19:37:39,906;17
19:37:39,937;16
19:37:39,969;15
19:37:40,000;14
19:37:40,031;13
19:37:40,062;11
19:37:40,094;9
19:37:40,125;6
19:37:40,156;3
19:37:40,187;-1
19:37:40,219;-6
19:37:40,250;-11
19:37:40,281;-16
19:37:40,312;-23
19:37:40,344;-29
19:37:40,375;-36
19:37:40,406;-43
19:37:40,437;-51
19:37:40,469;-58
19:37:40,500;-65
19:37:40,531;-72
19:37:40,562;-79
19:37:40,594;-85
19:37:40,625;-90
19:37:40,656;-95
19:37:40,687;-99
19:37:40,719;-102
19:37:40,750;-104
19:37:40,781;-105
19:37:40,812;-104
19:37:40,844;-103
19:37:40,875;-101
19:37:40,906;-98
19:37:40,938;-94
19:37:40,969;-90
19:37:41,000;-85
19:37:41,031;-79
19:37:41,062;-73
19:37:41,094;-66
19:37:41,125;-59
19:37:41,156;-52
19:37:41,188;-45
19:37:41,219;-38
19:37:41,250;-31
19:37:41,281;-24
19:37:41,312;-17
19:37:41,344;-11
19:37:41,375;-4
19:37:41,406;2
19:37:41,438;8
19:37:41,469;15
19:37:41,500;21
19:37:41,531;27
19:37:41,562;33
19:37:41,594;39
19:37:41,625;46
19:37:41,656;52
19:37:41,687;59
19:37:41,719;65
19:37:41,750;72
19:37:41,781;78
19:37:41,812;85
19:37:41,844;92
19:37:41,875;98
19:37:41,906;105
19:37:41,937;111
19:37:41,969;118
19:37:42,000;124
19:37:42,031;129
19:37:42,062;135
19:37:42,094;140
19:37:42,125;144
19:37:42,156;148
19:37:42,187;152
19:37:42,219;155
19:37:42,250;158
19:37:42,281;160
19:37:42,312;162
19:37:42,344;164
19:37:42,375;164
19:37:42,406;165
19:37:42,438;165
19:37:42,469;164
19:37:42,500;162
19:37:42,531;160
19:37:42,562;158
19:37:42,594;155
19:37:42,625;151
19:37:42,656;146
19:37:42,688;141
19:37:42,719;135
19:37:42,750;128
19:37:42,781;121
19:37:42,812;113
19:37:42,844;104
19:37:42,875;95
19:37:42,906;86
19:37:42,938;76
19:37:42,969;66
19:37:43,000;55
19:37:43,031;45
19:37:43,062;35
19:37:43,094;24
19:37:43,125;15
19:37:43,156;5
19:37:43,187;-4
19:37:43,219;-12
19:37:43,250;-20
19:37:43,281;-27
19:37:43,312;-33
19:37:43,344;-38
19:37:43,375;-43
19:37:43,406;-47
19:37:43,437;-50
19:37:43,469;-52
19:37:43,500;-54
19:37:43,531;-56
19:37:43,562;-57
19:37:43,594;-58
19:37:43,625;-59
19:37:43,656;-59
19:37:43,687;-60
19:37:43,719;-61
19:37:43,750;-62
19:37:43,781;-63
19:37:43,812;-65
19:37:43,844;-67
19:37:43,875;-69
19:37:43,906;-71
19:37:43,937;-74
19:37:43,969;-77
19:37:44,000;-80
19:37:44,031;-84
19:37:44,062;-87
19:37:44,094;-90
19:37:44,125;-93
19:37:44,156;-96
19:37:44,188;-98
19:37:44,219;-100
19:37:44,250;-102
19:37:44,281;-103
19:37:44,312;-103
19:37:44,344;-103
19:37:44,375;-102
19:37:44,406;-100
19:37:44,438;-97
19:37:44,469;-94
19:37:44,500;-91
19:37:44,531;-86
19:37:44,562;-82
19:37:44,594;-76
19:37:44,625;-71
19:37:44,656;-65
19:37:44,687;-59
19:37:44,719;-53
19:37:44,750;-47
19:37:44,781;-41
19:37:44,812;-35
19:37:44,844;-30
19:37:44,875;-24
19:37:44,906;-19
19:37:44,937;-14
19:37:44,969;-10
19:37:45,000;-6
19:37:45,031;-2
19:37:45,062;1
19:37:45,094;5
19:37:45,125;7
19:37:45,156;10
19:37:45,187;13
19:37:45,219;15
19:37:45,250;17
19:37:45,281;19
19:37:45,312;21
19:37:45,344;23
19:37:45,375;25
19:37:45,406;27
19:37:45,437;30
19:37:45,469;32
19:37:45,500;34
19:37:45,531;36
19:37:45,562;39
19:37:45,594;41
19:37:45,625;44
19:37:45,656;46
19:37:45,688;48
19:37:45,719;50
19:37:45,750;52
19:37:45,781;54
19:37:45,812;55
19:37:45,844;57
19:37:45,875;58
19:37:45,906;58
19:37:45,938;58
19:37:45,969;58
19:37:46,000;58
19:37:46,031;57
19:37:46,062;56
19:37:46,094;55
19:37:46,125;53
19:37:46,156;52
19:37:46,188;50
19:37:46,219;48
19:37:46,250;46
19:37:46,281;45
19:37:46,312;43
19:37:46,344;41
19:37:46,375;40
19:37:46,406;39
19:37:46,437;38
19:37:46,469;38
19:37:46,500;38
19:37:46,531;38
19:37:46,562;38
19:37:46,594;39
19:37:46,625;40
19:37:46,656;42
19:37:46,687;43
19:37:46,719;44
19:37:46,750;46
19:37:46,781;47
19:37:46,812;49
19:37:46,844;50
19:37:46,875;50
19:37:46,906;51
19:37:46,937;50
19:37:46,969;50
19:37:47,000;49
19:37:47,031;47
19:37:47,062;45
19:37:47,094;42
19:37:47,125;38
19:37:47,156;34
19:37:47,188;30
19:37:47,219;25
19:37:47,250;20
19:37:47,281;14
19:37:47,312;8
19:37:47,344;2
19:37:47,375;-4
19:37:47,406;-10
19:37:47,438;-15
19:37:47,469;-21
19:37:47,500;-27
19:37:47,531;-32
19:37:47,562;-37
19:37:47,594;-42
19:37:47,625;-46
19:37:47,656;-50
19:37:47,688;-54
19:37:47,719;-57
19:37:47,750;-59
19:37:47,781;-61
19:37:47,812;-63
19:37:47,844;-64
19:37:47,875;-65
19:37:47,906;-66
19:37:47,937;-65
19:37:47,969;-65
19:37:48,000;-64
19:37:48,031;-62
19:37:48,062;-60
19:37:48,094;-57
19:37:48,125;-54
19:37:48,156;-50
19:37:48,187;-46
19:37:48,219;-41
19:37:48,250;-36
19:37:48,281;-30
19:37:48,312;-24
19:37:48,344;-17
19:37:48,375;-10
19:37:48,406;-3
19:37:48,437;5
19:37:48,469;12
19:37:48,500;20
19:37:48,531;28
19:37:48,562;36
19:37:48,594;45
19:37:48,625;53
19:37:48,656;61
19:37:48,687;68
19:37:48,719;76
19:37:48,750;84
19:37:48,781;91
19:37:48,812;98
19:37:48,844;105
19:37:48,875;112
19:37:48,906;119
19:37:48,938;126
19:37:48,969;132
19:37:49,000;139
19:37:49,031;145
19:37:49,062;151
19:37:49,094;158
19:37:49,125;163
19:37:49,156;169
19:37:49,188;175
19:37:49,219;180
19:37:49,250;185
19:37:49,281;189
19:37:49,312;193
19:37:49,344;197
19:37:49,375;200
19:37:49,406;202
19:37:49,438;204
19:37:49,469;205
19:37:49,500;206
19:37:49,531;205
19:37:49,562;204
19:37:49,594;202
19:37:49,625;199
19:37:49,656;196
19:37:49,687;191
19:37:49,719;186
19:37:49,750;181
19:37:49,781;174
19:37:49,812;167
19:37:49,844;160
19:37:49,875;152
19:37:49,906;143
19:37:49,937;134
19:37:49,969;125
19:37:50,000;115
19:37:50,031;105
19:37:50,062;94
19:37:50,094;83
19:37:50,125;72
19:37:50,156;61
19:37:50,187;49
19:37:50,219;37
19:37:50,250;25
19:37:50,281;13
19:37:50,312;1
19:37:50,344;-12
19:37:50,375;-24
19:37:50,406;-36
19:37:50,438;-47
19:37:50,469;-59
19:37:50,500;-69
19:37:50,531;-80
19:37:50,562;-89
19:37:50,594;-98
19:37:50,625;-106
19:37:50,656;-113
19:37:50,688;-120
19:37:50,719;-125
19:37:50,750;-129
19:37:50,781;-132
19:37:50,812;-134
19:37:50,844;-135
19:37:50,875;-135
19:37:50,906;-134
19:37:50,938;-133
19:37:50,969;-130
19:37:51,000;-127
19:37:51,031;-123
19:37:51,062;-119
19:37:51,094;-114
19:37:51,125;-109
19:37:51,156;-104
19:37:51,187;-99
19:37:51,219;-94
19:37:51,250;-89
19:37:51,281;-85
19:37:51,312;-80
19:37:51,344;-76
19:37:51,375;-73
19:37:51,406;-70
19:37:51,437;-67
19:37:51,469;-64
19:37:51,500;-62
19:37:51,531;-60
19:37:51,562;-58
19:37:51,594;-57
19:37:51,625;-55
19:37:51,656;-54
19:37:51,687;-53
19:37:51,719;-51
19:37:51,750;-50
19:37:51,781;-48
19:37:51,812;-46
19:37:51,844;-44
19:37:51,875;-42
19:37:51,906;-39
19:37:51,938;-36
19:37:51,969;-33
19:37:52,000;-30
19:37:52,031;-26
19:37:52,062;-23
19:37:52,094;-19
19:37:52,125;-15
19:37:52,156;-11
19:37:52,188;-7
19:37:52,219;-3
19:37:52,250;1
19:37:52,281;4
19:37:52,312;8
19:37:52,344;11
19:37:52,375;14
19:37:52,406;16
19:37:52,438;18
19:37:52,469;20
19:37:52,500;22
19:37:52,531;23
19:37:52,562;24
19:37:52,594;24
19:37:52,625;25
19:37:52,656;25
19:37:52,687;25
19:37:52,719;26
19:37:52,750;26
19:37:52,781;26
19:37:52,812;26
19:37:52,844;27
19:37:52,875;27
19:37:52,906;28
19:37:52,937;29
19:37:52,969;30
19:37:53,000;31
19:37:53,031;33
19:37:53,062;34
19:37:53,094;36
19:37:53,125;38
19:37:53,156;39
19:37:53,187;41
19:37:53,219;43
19:37:53,250;44
19:37:53,281;45
19:37:53,312;46
19:37:53,344;47
19:37:53,375;48
19:37:53,406;48
19:37:53,437;48
19:37:53,469;47
19:37:53,500;47
19:37:53,531;46
19:37:53,562;45
19:37:53,594;43
19:37:53,625;42
19:37:53,656;40
19:37:53,688;39
19:37:53,719;37
19:37:53,750;36
19:37:53,781;35
19:37:53,812;34
19:37:53,844;34
19:37:53,875;33
19:37:53,906;33
19:37:53,938;34
19:37:53,969;34
19:37:54,000;35
19:37:54,031;36
19:37:54,062;36
19:37:54,094;37
19:37:54,125;38
19:37:54,156;39
19:37:54,188;39
19:37:54,219;39
19:37:54,250;38
19:37:54,281;37
19:37:54,312;35
19:37:54,344;32
19:37:54,375;28
19:37:54,406;24
19:37:54,437;19
19:37:54,469;14
19:37:54,500;7
19:37:54,531;1
19:37:54,562;-7
19:37:54,594;-15
19:37:54,625;-22
19:37:54,656;-31
19:37:54,687;-39
19:37:54,719;-46
19:37:54,750;-54
19:37:54,781;-61
19:37:54,812;-68
19:37:54,844;-74
19:37:54,875;-79
19:37:54,906;-83
19:37:54,937;-86
19:37:54,969;-89
19:37:55,000;-90
19:37:55,031;-91
19:37:55,062;-90
19:37:55,094;-89
19:37:55,125;-87
19:37:55,156;-84
19:37:55,188;-81
19:37:55,219;-77
19:37:55,250;-72
19:37:55,281;-67
19:37:55,312;-62
19:37:55,344;-56
19:37:55,375;-50
19:37:55,406;-43
19:37:55,438;-37
19:37:55,469;-30
19:37:55,500;-23
19:37:55,531;-16
19:37:55,562;-9
19:37:55,594;-2
19:37:55,625;6
19:37:55,656;13
19:37:55,688;21
19:37:55,719;28
19:37:55,750;36
19:37:55,781;44
19:37:55,812;51
19:37:55,844;59
19:37:55,875;66
19:37:55,906;73
19:37:55,937;80
19:37:55,969;87
19:37:56,000;94
19:37:56,031;100
19:37:56,062;106
19:37:56,094;112
19:37:56,125;117
19:37:56,156;122
19:37:56,187;126
19:37:56,219;130
19:37:56,250;134
19:37:56,281;138
19:37:56,312;141
19:37:56,344;144
19:37:56,375;146
19:37:56,406;149
19:37:56,437;151
19:37:56,469;153
19:37:56,500;155
19:37:56,531;157
19:37:56,562;159
19:37:56,594;161
19:37:56,625;162
19:37:56,656;164
19:37:56,687;166
19:37:56,719;167
19:37:56,750;169
19:37:56,781;170
19:37:56,812;171
19:37:56,844;172
19:37:56,875;173
19:37:56,906;174
19:37:56,938;174
19:37:56,969;174
19:37:57,000;174
19:37:57,031;174
19:37:57,062;173
19:37:57,094;172
19:37:57,125;170
19:37:57,156;168
19:37:57,188;166
19:37:57,219;163
19:37:57,250;160
19:37:57,281;157
19:37:57,312;153
19:37:57,344;149
19:37:57,375;145
19:37:57,406;140
19:37:57,437;134
19:37:57,469;129
19:37:57,500;123
19:37:57,531;116
19:37:57,562;109
19:37:57,594;102
19:37:57,625;94
19:37:57,656;86
19:37:57,687;78
19:37:57,719;70
19:37:57,750;61
19:37:57,781;53
19:37:57,812;44
19:37:57,844;36
19:37:57,875;27
19:37:57,906;19
19:37:57,937;11
19:37:57,969;4
19:37:58,000;-2
19:37:58,031;-8
19:37:58,062;-14
19:37:58,094;-18
19:37:58,125;-22
19:37:58,156;-25
19:37:58,187;-27
19:37:58,219;-29
19:37:58,250;-30
19:37:58,281;-30
19:37:58,312;-30
19:37:58,344;-29
19:37:58,375;-28
19:37:58,406;-27
19:37:58,438;-26
19:37:58,469;-25
19:37:58,500;-24
19:37:58,531;-24
19:37:58,562;-24
19:37:58,594;-24
19:37:58,625;-25
19:37:58,656;-27
19:37:58,688;-29
19:37:58,719;-32
19:37:58,750;-36
19:37:58,781;-41
19:37:58,812;-46
19:37:58,844;-51
19:37:58,875;-57
19:37:58,906;-63
19:37:58,938;-69
19:37:58,969;-76
19:37:59,000;-82
19:37:59,031;-87
19:37:59,062;-92
19:37:59,094;-97
19:37:59,125;-101
19:37:59,156;-104
19:37:59,187;-107
19:37:59,219;-108
19:37:59,250;-109
19:37:59,281;-108
19:37:59,312;-107
19:37:59,344;-104
19:37:59,375;-101
19:37:59,406;-97
19:37:59,437;-93
19:37:59,469;-88
19:37:59,500;-82
19:37:59,531;-76
19:37:59,562;-70
19:37:59,594;-64
19:37:59,625;-58
19:37:59,656;-52
19:37:59,687;-46
19:37:59,719;-41
19:37:59,750;-35
19:37:59,781;-31
19:37:59,812;-26
19:37:59,844;-22
19:37:59,875;-19
19:37:59,906;-16
19:37:59,938;-13
19:37:59,969;-11
19:38:00,000;-9
19:38:00,031;-7
19:38:00,062;-6
19:38:00,094;-4
19:38:00,125;-3
19:38:00,156;-1
19:38:00,188;0
19:38:00,219;1
19:38:00,250;3
19:38:00,281;5
19:38:00,312;6
19:38:00,344;8
19:38:00,375;10
19:38:00,406;12
19:38:00,438;14
19:38:00,469;16
19:38:00,500;18
19:38:00,531;20
19:38:00,562;22
19:38:00,594;23
19:38:00,625;25
19:38:00,656;26
19:38:00,687;27
19:38:00,719;28
19:38:00,750;29
19:38:00,781;29
19:38:00,812;29
19:38:00,844;29
19:38:00,875;28
19:38:00,906;28
19:38:00,937;27
19:38:00,969;26
19:38:01,000;25
19:38:01,031;24
19:38:01,062;24
19:38:01,094;23
19:38:01,125;22
19:38:01,156;21
19:38:01,187;21
19:38:01,219;20
19:38:01,250;20
19:38:01,281;20
19:38:01,312;21
19:38:01,344;21
19:38:01,375;22
19:38:01,406;23
19:38:01,437;23
19:38:01,469;24
19:38:01,500;25
19:38:01,531;26
19:38:01,562;27
19:38:01,594;28
19:38:01,625;29
19:38:01,656;30
19:38:01,688;30
19:38:01,719;30
19:38:01,750;30
19:38:01,781;30
19:38:01,812;29
19:38:01,844;28
19:38:01,875;27
19:38:01,906;26
19:38:01,938;25
19:38:01,969;24
19:38:02,000;23
19:38:02,031;21
19:38:02,062;20
19:38:02,094;19
19:38:02,125;18
19:38:02,156;17
19:38:02,188;17
19:38:02,219;16
19:38:02,250;16
19:38:02,281;16
19:38:02,312;15
19:38:02,344;15
19:38:02,375;15
19:38:02,406;15
19:38:02,437;15
19:38:02,469;14
19:38:02,500;13
19:38:02,531;12
19:38:02,562;10
19:38:02,594;8
19:38:02,625;5
19:38:02,656;2
19:38:02,687;-2
19:38:02,719;-7
19:38:02,750;-12
19:38:02,781;-18
19:38:02,812;-24
19:38:02,844;-30
19:38:02,875;-37
19:38:02,906;-44
19:38:02,937;-51
19:38:02,969;-58
19:38:03,000;-65
19:38:03,031;-72
19:38:03,062;-78
19:38:03,094;-84
19:38:03,125;-89
19:38:03,156;-93
19:38:03,188;-97
19:38:03,219;-100
19:38:03,250;-103
19:38:03,281;-105
19:38:03,312;-105
19:38:03,344;-106
19:38:03,375;-105
19:38:03,406;-104
19:38:03,438;-102
19:38:03,469;-100
19:38:03,500;-97
19:38:03,531;-94
19:38:03,562;-91
19:38:03,594;-87
19:38:03,625;-83
19:38:03,656;-79
19:38:03,688;-74
19:38:03,719;-70
19:38:03,750;-65
19:38:03,781;-61
19:38:03,812;-56
19:38:03,844;-51
19:38:03,875;-46
19:38:03,906;-41
19:38:03,937;-36
19:38:03,969;-31
19:38:04,000;-25
19:38:04,031;-19
19:38:04,062;-13
19:38:04,094;-7
19:38:04,125;-1
19:38:04,156;5
19:38:04,187;11
19:38:04,219;17
19:38:04,250;24
19:38:04,281;30
19:38:04,312;36
19:38:04,344;42
19:38:04,375;48
19:38:04,406;54
19:38:04,437;60
19:38:04,469;65
19:38:04,500;71
19:38:04,531;76
19:38:04,562;81
19:38:04,594;86
19:38:04,625;91
19:38:04,656;96
19:38:04,688;100
19:38:04,719;105
19:38:04,750;109
19:38:04,781;113
19:38:04,812;117
19:38:04,844;122
19:38:04,875;125
19:38:04,906;129
19:38:04,938;133
19:38:04,969;137
19:38:05,000;140
19:38:05,031;143
19:38:05,062;146
19:38:05,094;149
19:38:05,125;151
19:38:05,156;153
19:38:05,188;155
19:38:05,219;156
19:38:05,250;157
19:38:05,281;158
19:38:05,312;158
19:38:05,344;158
19:38:05,375;157
19:38:05,406;157
19:38:05,437;155
19:38:05,469;154
19:38:05,500;152
19:38:05,531;149
19:38:05,562;146
19:38:05,594;143
19:38:05,625;139
19:38:05,656;135
19:38:05,687;131
19:38:05,719;126
19:38:05,750;120
19:38:05,781;114
19:38:05,812;107
19:38:05,844;100
19:38:05,875;92
19:38:05,906;84
19:38:05,937;75
19:38:05,969;65
19:38:06,000;55
19:38:06,031;45
19:38:06,062;34
19:38:06,094;23
19:38:06,125;12
19:38:06,156;1
19:38:06,187;-10
19:38:06,219;-21
19:38:06,250;-32
19:38:06,281;-42
19:38:06,312;-51
19:38:06,344;-60
19:38:06,375;-68
19:38:06,406;-75
19:38:06,438;-82
19:38:06,469;-87
19:38:06,500;-91
19:38:06,531;-94
19:38:06,562;-96
19:38:06,594;-98
19:38:06,625;-98
19:38:06,656;-98
19:38:06,688;-97
19:38:06,719;-95
19:38:06,750;-93
19:38:06,781;-91
19:38:06,812;-88
19:38:06,844;-86
19:38:06,875;-83
19:38:06,906;-81
19:38:06,938;-79
